name,longitude,latitude,key,lifeStage,stateProvince,year
"Necturus maculosus (Rafinesque, 1818)",-86.849004,45.718441,2580098057,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-89.700559,43.680839,2596249763,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-86.218038,45.836432,2626321817,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-75.779725,45.37962,2597728281,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-84.841443,44.777235,2597765908,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-81.968455,43.212892,2603294186,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-84.516796,36.914856,2619921634,NA,Kentucky,2020
"Necturus maculosus (Rafinesque, 1818)",-73.932487,45.404647,2963814837,NA,Québec,2020
"Necturus maculosus (Rafinesque, 1818)",-89.430527,44.580094,3399338363,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-81.463614,44.418012,3031775139,Juvenile,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-83.097013,42.088676,2634616244,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-76.736306,42.573036,2802692229,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-84.850904,47.615137,2803055604,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-81.480195,45.054435,2823120151,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-81.480174,45.054454,2823127165,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-81.480184,45.054421,2826124708,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-93.242179,45.901318,2963839721,NA,Minnesota,2020
"Necturus maculosus (Rafinesque, 1818)",-81.163241,40.505148,3014018447,Adult,Ohio,2020
"Necturus maculosus (Rafinesque, 1818)",-85.262858,43.63599,3327688476,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-85.216737,43.659476,3327783476,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-91.428298,45.838269,3355599825,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-76.421355,42.411637,2814060603,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-75.421579,43.353561,2814092724,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-76.802797,42.41165,2814273446,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-76.92271,42.474654,2814353932,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-81.987839,40.433215,2823218283,NA,Ohio,2020
"Necturus maculosus (Rafinesque, 1818)",-73.366789,44.961529,2826313919,NA,Vermont,2020
"Necturus maculosus (Rafinesque, 1818)",-73.780731,45.636462,2826330836,NA,Québec,2020
"Necturus maculosus (Rafinesque, 1818)",-79.941895,44.995826,2826458685,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-78.249586,42.340215,2851084740,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-88.092769,45.255871,2850931928,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-76.673614,45.354312,2862356641,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-72.461563,42.42637,2864603894,NA,Massachusetts,2020
"Necturus maculosus (Rafinesque, 1818)",-75.149417,45.583965,2873742964,NA,Québec,2020
"Necturus maculosus (Rafinesque, 1818)",-87.39355,41.787275,3018100516,NA,Indiana,2020
"Necturus maculosus (Rafinesque, 1818)",-80.428615,42.644416,2898387292,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-79.303689,42.886118,2901579780,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-80.053191,44.726633,2901683789,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-79.022986,43.01073,2901786707,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-89.837091,44.240387,2963902170,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-75.678337,44.964868,2988594079,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-75.627978,43.819284,3044558715,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-86.902243,39.167941,2984536690,NA,Indiana,2020
"Necturus maculosus (Rafinesque, 1818)",-84.654253,45.775958,2988607895,NA,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-79.752843,43.414151,2988676650,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-75.678318,44.964872,2992800757,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-79.250139,42.922783,2992829688,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-75.678353,44.96487,3068003948,NA,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-82.813588,42.357013,3090848826,Adult,Michigan,2020
"Necturus maculosus (Rafinesque, 1818)",-78.876539,42.888921,2999038793,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-88.450521,43.047616,3008454669,NA,Wisconsin,2020
"Necturus maculosus (Rafinesque, 1818)",-76.215663,44.190215,3008456707,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-76.287399,44.126412,3008479711,NA,New York,2020
"Necturus maculosus (Rafinesque, 1818)",-76.873386,45.642636,3008524611,Adult,Ontario,2020
"Necturus maculosus (Rafinesque, 1818)",-79.784676,41.197984,1986617237,Adult,Pennsylvania,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678295,44.964967,1986629540,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.67832,44.964755,1990480076,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678068,44.964827,1990551957,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678528,44.964792,1990551978,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678458,44.96502,1993729361,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678122,44.964818,2005294128,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.67841,44.964787,2005305126,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678303,44.964889,2005355770,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-74.059243,43.059825,2236260730,Adult,New York,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678924,44.965001,2236905606,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-79.588236,41.410503,2234780807,Adult,Pennsylvania,2019
"Necturus maculosus (Rafinesque, 1818)",-79.493998,41.569158,2235486244,Adult,Pennsylvania,2019
"Necturus maculosus (Rafinesque, 1818)",-79.77668,40.692741,2236231955,Adult,Pennsylvania,2019
"Necturus maculosus (Rafinesque, 1818)",-83.560963,38.051869,2236250519,Adult,Kentucky,2019
"Necturus maculosus (Rafinesque, 1818)",-75.801103,43.345758,2236897606,Adult,New York,2019
"Necturus maculosus (Rafinesque, 1818)",-76.874115,44.323992,2237521690,Juvenile,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.865535,43.271693,2597735623,NA,New York,2019
"Necturus maculosus (Rafinesque, 1818)",-96.175748,50.569421,2244274304,Adult,Manitoba,2019
"Necturus maculosus (Rafinesque, 1818)",-73.970863,45.33007,2641593703,NA,Québec,2019
"Necturus maculosus (Rafinesque, 1818)",-76.419812,42.494584,3079574604,NA,New York,2019
"Necturus maculosus (Rafinesque, 1818)",-85.496917,42.557336,2269221618,Adult,Michigan,2019
"Necturus maculosus (Rafinesque, 1818)",-88.540252,42.569032,2273301113,NA,Wisconsin,2019
"Necturus maculosus (Rafinesque, 1818)",-79.794075,46.081914,2992882025,NA,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-77.453522,44.003475,2294607033,NA,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-79.173536,41.478752,2311397513,Juvenile,Pennsylvania,2019
"Necturus maculosus (Rafinesque, 1818)",-78.225204,42.183109,2465308061,Adult,New York,2019
"Necturus maculosus (Rafinesque, 1818)",-81.711504,45.296618,2626375008,NA,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-87.990508,35.218467,2350330012,NA,Tennessee,2019
"Necturus maculosus (Rafinesque, 1818)",-81.23703,44.7881,2429254847,NA,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-81.312903,44.715874,2576282100,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-81.237002,44.788169,2576300654,NA,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-75.678208,44.964713,2447939830,Adult,Ontario,2019
"Necturus maculosus (Rafinesque, 1818)",-79.658422,47.504372,2294642426,NA,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-75.750281,44.902068,1831212998,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-81.910881,38.524181,2550039799,Adult,West Virginia,2018
"Necturus maculosus (Rafinesque, 1818)",-95.380284,38.775824,2823165602,NA,Kansas,2018
"Necturus maculosus (Rafinesque, 1818)",-87.588262,41.652006,3061812423,NA,Illinois,2018
"Necturus maculosus (Rafinesque, 1818)",-87.574824,41.605863,1837781140,Adult,Illinois,2018
"Necturus maculosus (Rafinesque, 1818)",-85.683533,44.836533,1847477313,Adult,Michigan,2018
"Necturus maculosus (Rafinesque, 1818)",-85.584675,42.599374,1847531947,Adult,Michigan,2018
"Necturus maculosus (Rafinesque, 1818)",-96.43198,50.119642,1847610245,Adult,Manitoba,2018
"Necturus maculosus (Rafinesque, 1818)",-83.747306,37.991725,2283060044,NA,Kentucky,2018
"Necturus maculosus (Rafinesque, 1818)",-85.571994,42.522488,1883512630,Adult,Michigan,2018
"Necturus maculosus (Rafinesque, 1818)",-73.256668,45.326668,1883917615,Juvenile,Québec,2018
"Necturus maculosus (Rafinesque, 1818)",-81.850356,42.318137,1891340481,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-79.85678,46.086661,1898834167,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-73.152222,45.889446,1913166422,Adult,Québec,2018
"Necturus maculosus (Rafinesque, 1818)",-87.365097,34.900141,1913711858,Adult,Alabama,2018
"Necturus maculosus (Rafinesque, 1818)",-87.21814,34.974292,2028437609,Adult,Alabama,2018
"Necturus maculosus (Rafinesque, 1818)",-76.443368,44.290846,2331948445,NA,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-75.678406,44.964892,1945436610,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-75.678425,44.964757,1946324455,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-75.72531,44.975162,1946358011,Adult,Ontario,2018
"Necturus maculosus (Rafinesque, 1818)",-79.183457,43.123261,1838397565,Adult,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-79.101151,43.038669,2633988942,NA,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-79.216126,43.108402,3330450161,Adult,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-87.472713,41.634774,1453439061,Adult,Illinois,2017
"Necturus maculosus (Rafinesque, 1818)",-69.79178,44.42113,1502458915,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-69.758465,44.5633,1502458918,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-75.678231,44.964894,1802733990,Adult,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-75.686422,44.82426,2609239622,NA,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-76.404328,42.471413,1455585788,Adult,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-70.204457,44.42711,1502458916,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-69.849228,44.60889,1502458917,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-69.857575,44.6434,1502458921,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-75.810084,43.223043,1500280774,Adult,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-69.780791,44.48132,1502458920,Adult,Maine,2017
"Necturus maculosus (Rafinesque, 1818)",-75.823231,43.344721,1584402132,Adult,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-81.049642,41.74217,1703129498,Juvenile,Ohio,2017
"Necturus maculosus (Rafinesque, 1818)",-76.581884,42.997201,3327929718,NA,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-73.257428,45.392944,1563427980,Adult,Québec,2017
"Necturus maculosus (Rafinesque, 1818)",-85.629684,44.815531,1563440576,Adult,Michigan,2017
"Necturus maculosus (Rafinesque, 1818)",-87.559646,41.648973,1668884873,Adult,Illinois,2017
"Necturus maculosus (Rafinesque, 1818)",-79.104194,42.064523,3325728455,NA,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-80.591011,43.863406,1586155095,Adult,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-80.176522,41.752978,1640054828,Adult,Pennsylvania,2017
"Necturus maculosus (Rafinesque, 1818)",-95.898108,49.675562,1640065500,Adult,Manitoba,2017
"Necturus maculosus (Rafinesque, 1818)",-96.474552,50.077413,1836633013,Adult,Manitoba,2017
"Necturus maculosus (Rafinesque, 1818)",-87.632295,34.997667,1880585933,Adult,Alabama,2017
"Necturus maculosus (Rafinesque, 1818)",-87.658489,34.948756,3330590427,NA,Alabama,2017
"Necturus maculosus (Rafinesque, 1818)",-83.348703,46.361408,1668837842,Adult,Ontario,2017
"Necturus maculosus (Rafinesque, 1818)",-72.578257,42.58936,1703329961,Juvenile,Massachusetts,2017
"Necturus maculosus (Rafinesque, 1818)",-72.469631,42.419777,2862501675,NA,Massachusetts,2017
"Necturus maculosus (Rafinesque, 1818)",-72.495629,42.440688,2862523685,NA,Massachusetts,2017
"Necturus maculosus (Rafinesque, 1818)",-78.876634,42.17979,3325919370,NA,New York,2017
"Necturus maculosus (Rafinesque, 1818)",-85.377879,42.262629,1323000384,Adult,Michigan,2016
"Necturus maculosus (Rafinesque, 1818)",-88.838636,43.138406,1265580496,Adult,Wisconsin,2016
"Necturus maculosus (Rafinesque, 1818)",-76.001033,43.73773,2243020450,NA,New York,2016
"Necturus maculosus (Rafinesque, 1818)",-82.575791,39.448787,1270053396,Adult,Ohio,2016
"Necturus maculosus (Rafinesque, 1818)",-74.699092,45.016637,1802776593,Adult,Ontario,2016
"Necturus maculosus (Rafinesque, 1818)",-89.181144,43.878287,1291084500,Adult,Wisconsin,2016
"Necturus maculosus (Rafinesque, 1818)",-76.52175,42.51868,1852461578,NA,New York,2016
"Necturus maculosus (Rafinesque, 1818)",-88.468983,43.130593,1990513648,Adult,Wisconsin,2016
"Necturus maculosus (Rafinesque, 1818)",-80.232345,45.348523,3090533926,NA,Ontario,2016
"Necturus maculosus (Rafinesque, 1818)",-93.118951,46.013166,1584410463,Adult,Minnesota,2016
"Necturus maculosus (Rafinesque, 1818)",-89.222712,43.791635,1990513631,Adult,Wisconsin,2016
"Necturus maculosus (Rafinesque, 1818)",-80.256979,42.753504,2984568729,NA,Ontario,2016
"Necturus maculosus (Rafinesque, 1818)",-72.174855,43.902946,1306584861,Adult,Vermont,2016
"Necturus maculosus (Rafinesque, 1818)",-78.847926,42.854071,1315070536,Adult,New York,2016
"Necturus maculosus (Rafinesque, 1818)",-92.810095,45.010385,2269319941,NA,Minnesota,2016
"Necturus maculosus (Rafinesque, 1818)",-82.624162,38.628127,1453435264,Adult,Ohio,2016
"Necturus maculosus (Rafinesque, 1818)",-73.526173,45.523608,1668852805,Adult,Québec,2015
"Necturus maculosus (Rafinesque, 1818)",-75.677679,44.964506,2823282720,NA,Ontario,2015
"Necturus maculosus (Rafinesque, 1818)",-87.444185,41.633241,1453267178,Adult,Illinois,2015
"Necturus maculosus (Rafinesque, 1818)",-74.400002,45.02,3351633854,NA,NA,2015
"Necturus maculosus (Rafinesque, 1818)",-91.933212,44.906084,3399156026,NA,Wisconsin,2015
"Necturus maculosus (Rafinesque, 1818)",-87.455353,41.651134,1584421819,Adult,Illinois,2015
"Necturus maculosus (Rafinesque, 1818)",-72.454156,43.275321,1584436194,Adult,Vermont,2015
"Necturus maculosus (Rafinesque, 1818)",-77.543545,45.830146,2563629976,NA,Ontario,2015
"Necturus maculosus (Rafinesque, 1818)",-73.662467,45.426528,2611238392,NA,Québec,2015
"Necturus maculosus (Rafinesque, 1818)",-91.07,42.790001,3349354963,NA,NA,2015
"Necturus maculosus (Rafinesque, 1818)",-73.790001,45.43,3351701868,NA,NA,2015
"Necturus maculosus (Rafinesque, 1818)",-75.746109,44.877706,1227748555,Adult,Ontario,2015
"Necturus maculosus (Rafinesque, 1818)",-75.616992,44.990722,899951690,Adult,Ontario,2014
"Necturus maculosus (Rafinesque, 1818)",-83.299741,38.043345,899971240,Adult,Kentucky,2014
"Necturus maculosus (Rafinesque, 1818)",-80.550003,41.970001,3349295993,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-85.629997,43.240002,3351568991,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-83.063377,42.313854,3090599038,NA,Ontario,2014
"Necturus maculosus (Rafinesque, 1818)",-78.874294,46.291248,1802652673,Adult,Ontario,2014
"Necturus maculosus (Rafinesque, 1818)",-80.556509,45.926556,3408044345,Egg,Ontario,2014
"Necturus maculosus (Rafinesque, 1818)",-95.419998,44.740002,3351567047,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-96.019997,46.32,3351580777,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-83.160004,42.02,3351625016,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-82.510002,42.650002,3351568992,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-95.440002,45.869999,3351630857,NA,NA,2014
"Necturus maculosus (Rafinesque, 1818)",-75.678131,44.964787,2005294068,Adult,Ontario,2013
"Necturus maculosus (Rafinesque, 1818)",-92.610001,44.610001,3351633853,NA,NA,2013
"Necturus maculosus (Rafinesque, 1818)",-79.242396,41.432531,891720103,Adult,Pennsylvania,2013
"Necturus maculosus (Rafinesque, 1818)",-80.242706,43.556123,3337900465,Adult,Ontario,2012
"Necturus maculosus (Rafinesque, 1818)",-86.188612,46.766948,923917260,Juvenile,Michigan,2012
