ID,present,WC_bio1,WC_bio12,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678538,44.964782
2,1,8.399999618530273,914,0.07000000029802322,14.220000267028809,-79.145697,43.061927
3,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678461,44.964792
4,1,8.800000190734863,840,-0.029999999329447746,13.260000228881836,-79.004109,43.19227
5,1,4,909,0.1599999964237213,10.6899995803833,-83.789999,46.44503
6,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678308,44.964828
7,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678255,44.964757
8,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678337,44.964798
9,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678237,44.964958
10,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678301,44.964717
11,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678207,44.964751
12,1,6.199999809265137,874,0.07999999821186066,13.0600004196167,-75.626323,44.965506
13,1,6,803,-0.07999999821186066,11.739999771118164,-84.61217,45.273306
14,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678358,44.964828
15,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678345,44.964727
16,1,9.800000190734863,962,-0.019999999552965164,13.670000076293945,-87.002892,41.621963
17,1,7.599999904632568,1151,0.17000000178813934,10.079999923706055,-79.147698,41.906819
18,1,5.900000095367432,870,0.07999999821186066,11.970000267028809,-75.645659,45.475905
19,1,6,870,0.07999999821186066,12.84000015258789,-75.738136,45.314367
20,1,5.900000095367432,857,0.05999999865889549,12.0600004196167,-75.751024,45.415658
21,1,5.900000095367432,868,0.07999999821186066,12.4399995803833,-75.717797,45.379105
22,1,6,870,0.07999999821186066,12.84000015258789,-75.716342,45.257147
23,1,5.599999904632568,872,0.09000000357627869,11.140000343322754,-75.784674,45.484995
24,1,7.5,1134,0.1599999964237213,10.920000076293945,-79.075484,41.318766
25,1,13.800000190734863,1299,0.05999999865889549,10.5600004196167,-83.829853,35.755668
26,1,7.400000095367432,888,0.019999999552965164,13.25,-77.283366,43.914581
27,1,4.900000095367432,931,0.18000000715255737,13.09000015258789,-80.410897,45.985119
28,1,8.100000381469727,809,-0.05999999865889549,13.220000267028809,-79.68167,43.452389
29,1,8.899999618530273,1026,0.10000000149011612,12.619999885559082,-81.115997,41.688005
30,1,7.699999809265137,792,-0.14000000059604645,11.319999694824219,-91.283629,43.811113
31,1,9.5,825,-0.10000000149011612,14.270000457763672,-83.156384,42.304453
32,1,9.5,835,-0.07999999821186066,14.229999542236328,-83.026986,42.322922
33,1,6.900000095367432,912,0.07000000029802322,12.59000015258789,-75.90669,44.38442
34,1,6,828,-0.10000000149011612,12.149999618530273,-91.288805,45.248312
35,1,6.400000095367432,914,0.07000000029802322,13.4399995803833,-74.006122,45.195624
36,1,6,824,-0.10999999940395355,12.40999984741211,-91.279718,45.332846
37,1,6.199999809265137,991,0.1899999976158142,12.880000114440918,-80.921841,44.025205
38,1,13.5,1346,0.09000000357627869,9.600000381469727,-83.79242,35.684392
39,1,3.799999952316284,864,0.05999999865889549,10.859999656677246,-77.845665,46.195805
40,1,6.099999904632568,955,0.12999999523162842,12.600000381469727,-79.986875,44.855973
41,1,6.199999809265137,889,0.17000000178813934,13.319999694824219,-81.363932,44.902037
42,1,3.700000047683716,872,0.07999999821186066,11.699999809265137,-77.840971,46.070181
43,1,4.900000095367432,624,-0.27000001072883606,13.1899995803833,-95.787674,46.242383
44,1,9.300000190734863,994,0.07000000029802322,12.649999618530273,-81.179055,41.70903
45,1,4.5,846,0.03999999910593033,11.180000305175781,-77.573184,45.890489
46,1,4.300000190734863,859,0.05999999865889549,10.65999984741211,-77.522071,45.829927
47,1,6.199999809265137,934,0.10000000149011612,13,-79.76124,44.791092
48,1,7.599999904632568,822,-0.03999999910593033,13.640000343322754,-79.785317,43.538045
49,1,5.5,915,0.12999999523162842,11.25,-75.149413,45.584004
50,1,5.5,915,0.12999999523162842,11.25,-75.149409,45.584028000000004
51,1,6.699999809265137,920,0.11999999731779099,12.359999656677246,-76.379879,44.258479
52,1,8.800000190734863,1152,0.12999999523162842,10.600000381469727,-79.072708,40.509151
53,1,5.699999809265137,1017,0.2199999988079071,12.710000038146973,-80.212063,45.352733
54,1,4.099999904632568,837,0.03999999910593033,12.859999656677246,-90.09511,46.035346
55,1,6.300000190734863,725,-0.10000000149011612,13.890000343322754,-83.400544,45.026093
56,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678295,44.964757
57,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678313,44.964858
58,1,7.199999809265137,1083,0.15000000596046448,11.569999694824219,-74.223639,43.039356
59,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.678257,44.964882
60,1,4.300000190734863,855,0.05000000074505806,10.609999656677246,-77.485701,46.107542
61,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.67826,44.964883
62,1,6.199999809265137,867,0.07000000029802322,13.029999732971191,-75.67826,44.964885
63,1,8.5,885,-0.05999999865889549,10.930000305175781,-76.537519,42.547874
64,1,7.900000095367432,905,-0.03999999910593033,10.140000343322754,-76.566133,42.415528
65,1,5.599999904632568,749,0,13.579999923706055,-86.849004,45.718441
66,1,6.800000190734863,817,-0.11999999731779099,12.470000267028809,-89.700559,43.680839
67,1,5.400000095367432,780,0.019999999552965164,13.40999984741211,-86.218038,45.836432
